id;name;description;image;ingredientIds;preparation;tags;goals;type
1;Ensalada fresca;Ensalada sencilla con lechuga, tomate y zanahoria.;https://images.unsplash.com/photo-1607532941433-304659e8198a?q=80&w=1378&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"1;2;5;3;4";Lavar y cortar lechuga | Picar cebolla | Mezclar todo y aliñar con aceite de oliva;"vegana;sin gluten;sin lactosa";"eat_healthy;lose_weight";
2;Arroz con pollo al curry;Arroz blanco con pollo y curry, plato nutritivo.;https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"6;7;8;4;3";Cocer arroz | Sofreír cebolla y pollo | Agregar curry | Mezclar y cocinar 5 minutos;"sin gluten;sin lactosa";"gain_muscle;eat_healthy";
3;Tortilla de espinacas;Tortilla casera con espinacas frescas.;https://images.unsplash.com/photo-1607877200978-3cab430e00cd?q=80&w=1476&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"12;13;4;3";Batir huevos | Sofreír cebolla y espinacas | Cuajar tortilla;"sin gluten;sin lactosa";"lose_weight;eat_healthy";
4;Garbanzos estofados;Guiso de garbanzos con verduras y especias.;https://images.unsplash.com/photo-1644432757699-bb5a01e8fb0e?q=80&w=1374&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"32;4;5;20;43;3";Sofreír cebolla, ajo y pimiento | Añadir garbanzos y zanahoria | Cocer a fuego lento 20 min;"vegana;sin gluten;sin lactosa";"eat_healthy;lose_weight";
5;Pasta integral con salsa;Pasta con salsa casera de tomate y especias.;https://images.unsplash.com/photo-1733700469181-fc8edf9af33f?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"23;27;4;3;8";Cocer pasta | Preparar salsa con tomate, cebolla, ajo y curry | Mezclar todo;"sin lactosa;vegana";eat_healthy;
6;Ensalada de quinoa;Plato fresco con quinoa, aguacate y verduras.;https://images.unsplash.com/photo-1615865417491-9941019fbc00?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"19;44;1;2;20;3";Cocer quinoa y enfriar | Cortar aguacate, lechuga, tomate y pimiento | Mezclar y aliñar;"vegana;sin gluten;sin lactosa";"eat_healthy;lose_weight";
7;Pollo al horno con brócoli;Pollo horneado con brócoli al vapor.;https://images.unsplash.com/photo-1633030175953-ac5a41b7353c?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"7;28;3;4;43";Sazonar pollo y hornear | Cocer brócoli al vapor | Servir con aceite de oliva y ajo;"sin gluten;sin lactosa";gain_muscle;
8;Tortilla de patata;Clásica tortilla española con patata y cebolla.;https://images.unsplash.com/photo-1639669794539-952631b44515?q=80&w=1521&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"13;4;3";Cortar y freír patata y cebolla | Batir huevos | Cuajar tortilla;"sin gluten;sin lactosa";eat_healthy;
9;Sopa de lentejas;Sopa caliente de lentejas con verduras.;https://images.unsplash.com/photo-1583592655948-4742830f0072?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"9;4;5;43;3";Sofreír cebolla, ajo y zanahoria | Añadir lentejas y agua | Cocer hasta tiernas;"vegana;sin gluten;sin lactosa";"eat_healthy;lose_weight";
10;Tofu salteado con verduras;Tofu salteado con pimientos y champiñones.;https://images.unsplash.com/photo-1657195721656-8254f104f289?q=80&w=1578&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;"30;20;21;22;3;43";Saltear tofu y verduras | Añadir ajo y aceite | Servir caliente;"vegana;sin gluten;sin lactosa";"eat_healthy;lose_weight";
